,People_Entering,Date
0,1.0,2021-6-24
1,2.0,2021-6-24
2,3.0,2021-6-24
3,4.0,2021-6-24
4,4.0,2021-6-24
5,4.0,2021-6-24
6,5.0,2021-6-24
7,0.0,2021-6-24
8,1.0,2021-6-24
9,2.0,2021-6-24
10,1.0,2021-6-24
11,2.0,2021-6-24
12,3.0,2021-6-24
13,4.0,2021-6-24
14,0.0,2021-6-24
15,0.0,2021-6-24
16,1.0,2021-6-24
17,1.0,2021-6-24
18,2.0,2021-6-24
19,3.0,2021-6-24
20,1.0,2021-6-24
21,2.0,2021-6-24
22,3.0,2021-6-24
23,4.0,2021-6-24
24,4.0,2021-6-24
25,4.0,2021-6-24
26,5.0,2021-6-24
27,5.0,2021-6-24
28,6.0,2021-6-24
29,7.0,2021-6-24
30,1.0,2021-6-24
31,2.0,2021-6-24
32,3.0,2021-6-24
33,4.0,2021-6-24
34,4.0,2021-6-24
35,4.0,2021-6-24
36,5.0,2021-6-24
37,1.0,2021-6-24
38,0.0,2021-6-24
39,1.0,2021-6-24
40,2.0,2021-6-24
41,0.0,2021-6-24
42,0.0,2021-6-24
43,1.0,2021-6-24
44,1.0,2021-6-24
45,2.0,2021-6-24
46,3.0,2021-6-24
47,1.0,2021-6-24
48,2.0,2021-6-24
49,3.0,2021-6-24
50,4.0,2021-6-24
51,4.0,2021-6-24
52,4.0,2021-6-24
53,1.0,2021-6-24
54,1.0,2021-6-24
55,2.0,2021-6-24
56,3.0,2021-6-24
57,1.0,2021-6-24
58,1.0,2021-6-24
59,2.0,2021-6-24
60,3.0,2021-6-24
61,4.0,2021-6-24
62,4.0,2021-6-24
63,4.0,2021-6-24
64,5.0,2021-6-24
65,5.0,2021-6-24
66,6.0,2021-6-24
67,7.0,2021-6-24
68,0.0,2021-6-24
69,0.0,2021-6-24
70,1.0,2021-6-24
71,1.0,2021-6-25
72,1.0,2021-6-25
73,2.0,2021-6-25
74,3.0,2021-6-25
75,3.0,2021-6-25
76,3.0,2021-6-25
77,4.0,2021-6-25
78,4.0,2021-6-25
79,5.0,2021-6-25
80,6.0,2021-6-25
81,1.0,2021-6-25
82,2.0,2021-6-25
83,3.0,2021-6-25
84,4.0,2021-6-25
85,4.0,2021-6-25
86,4.0,2021-6-25
87,5.0,2021-6-25
88,5.0,2021-6-25
89,6.0,2021-6-25
90,7.0,2021-6-25
91,1.0,2021-6-25
92,1.0,2021-6-25
93,2.0,2021-6-25
94,3.0,2021-6-25
95,4.0,2021-6-25
96,4.0,2021-6-25
97,4.0,2021-6-25
98,5.0,2021-6-25
99,5.0,2021-6-25
100,6.0,2021-6-25
101,7.0,2021-6-25
102,1.0,2021-6-25
103,2.0,2021-6-25
104,3.0,2021-6-25
105,4.0,2021-6-25
106,4.0,2021-6-25
107,4.0,2021-6-25
108,5.0,2021-6-25
109,5.0,2021-6-25
110,6.0,2021-6-25
111,7.0,2021-6-25
112,1.0,2021-6-25
113,1.0,2021-6-25
114,1.0,2021-6-25
115,2.0,2021-6-25
116,3.0,2021-6-25
117,4.0,2021-6-25
118,4.0,2021-6-25
119,4.0,2021-6-25
120,5.0,2021-6-25
121,5.0,2021-6-25
122,6.0,2021-6-25
123,7.0,2021-6-25
124,1.0,2021-6-25
125,2.0,2021-6-25
126,3.0,2021-6-25
127,4.0,2021-6-25
128,4.0,2021-6-25
129,4.0,2021-6-25
130,5.0,2021-6-25
131,5.0,2021-6-25
132,6.0,2021-6-25
133,7.0,2021-6-25
134,1.0,2021-6-25
135,2.0,2021-6-25
136,3.0,2021-6-25
137,4.0,2021-6-25
138,4.0,2021-6-25
139,4.0,2021-6-25
140,5.0,2021-6-25
141,5.0,2021-6-25
142,6.0,2021-6-25
143,7.0,2021-6-25
144,1.0,2021-6-25
145,2.0,2021-6-25
146,3.0,2021-6-25
147,4.0,2021-6-25
148,4.0,2021-6-25
149,4.0,2021-6-25
150,5.0,2021-6-25
151,5.0,2021-6-25
152,6.0,2021-6-25
153,7.0,2021-6-25
154,1.0,2021-6-25
155,2.0,2021-6-25
156,3.0,2021-6-25
157,4.0,2021-6-25
158,4.0,2021-6-25
159,4.0,2021-6-25
160,5.0,2021-6-25
161,5.0,2021-6-25
162,6.0,2021-6-25
163,7.0,2021-6-25
164,1.0,2021-6-25
165,2.0,2021-6-25
166,3.0,2021-6-25
167,4.0,2021-6-25
168,5.0,2021-6-25
169,6.0,2021-6-25
170,7.0,2021-6-25
171,8.0,2021-6-25
172,9.0,2021-6-25
173,10.0,2021-6-25
174,11.0,2021-6-25
175,11.0,2021-6-25
176,1.0,2021-6-25
177,2.0,2021-6-25
178,3.0,2021-6-25
179,4.0,2021-6-25
180,5.0,2021-6-25
181,0.0,2021-6-25
182,1.0,2021-6-25
183,1.0,2021-6-26
184,2.0,2021-6-26
185,3.0,2021-6-26
186,4.0,2021-6-26
187,5.0,2021-6-26
188,1.0,2021-6-26
189,1.0,2021-6-26
190,2.0,2021-6-26
191,3.0,2021-6-26
192,4.0,2021-6-26
193,5.0,2021-6-26
194,6.0,2021-6-26
195,1.0,2021-6-26
196,1.0,2021-6-26
197,2.0,2021-6-26
198,3.0,2021-6-26
199,1.0,2021-6-26
200,2.0,2021-6-26
201,3.0,2021-6-26
202,1.0,2021-6-27
203,1.0,2021-6-27
204,1.0,2021-6-27
205,1.0,2021-6-27
206,2.0,2021-6-27
207,3.0,2021-6-27
208,1.0,2021-6-27
209,2.0,2021-6-27
210,1.0,2021-6-27
211,1.0,2021-6-27
212,2.0,2021-6-27
213,0.0,2021-6-27
214,1.0,2021-6-27
215,0.0,2021-6-27
216,1.0,2021-6-27
217,0.0,2021-6-27
218,1.0,2021-6-27
219,2.0,2021-6-27
220,1.0,2021-6-27
221,1.0,2021-6-27
222,2.0,2021-6-27
223,3.0,2021-6-27
224,4.0,2021-6-27
225,1.0,2021-6-29
226,2.0,2021-6-29
227,3.0,2021-6-29
228,3.0,2021-6-29
229,3.0,2021-6-29
230,3.0,2021-6-29
231,4.0,2021-6-29
232,5.0,2021-6-29
233,6.0,2021-6-29
234,7.0,2021-6-29
235,7.0,2021-6-29
236,8.0,2021-6-29
237,8.0,2021-6-29
238,9.0,2021-6-29
239,10.0,2021-6-29
240,1.0,2021-6-29
241,2.0,2021-6-29
242,3.0,2021-6-29
243,4.0,2021-6-29
244,5.0,2021-6-29
245,6.0,2021-6-29
246,6.0,2021-6-29
247,6.0,2021-6-29
248,7.0,2021-6-29
249,7.0,2021-6-29
250,8.0,2021-6-29
251,8.0,2021-6-29
252,8.0,2021-6-29
253,9.0,2021-6-29
254,9.0,2021-6-29
255,10.0,2021-6-29
256,11.0,2021-6-29
257,11.0,2021-6-29
258,11.0,2021-6-29
259,12.0,2021-6-29
260,13.0,2021-6-29
261,14.0,2021-6-29
262,15.0,2021-6-29
263,16.0,2021-6-29
264,17.0,2021-6-29
265,18.0,2021-6-29
266,19.0,2021-6-29
267,20.0,2021-6-29
268,21.0,2021-6-29
269,21.0,2021-6-29
270,22.0,2021-6-29
271,23.0,2021-6-29
272,24.0,2021-6-29
273,24.0,2021-6-29
274,25.0,2021-6-29
275,26.0,2021-6-29
276,27.0,2021-6-29
277,28.0,2021-6-29
278,29.0,2021-6-29
279,29.0,2021-6-29
280,29.0,2021-6-29
281,29.0,2021-6-29
282,29.0,2021-6-29
283,29.0,2021-6-29
284,30.0,2021-6-29
285,30.0,2021-6-29
286,30.0,2021-6-29
287,31.0,2021-6-29
288,31.0,2021-6-29
289,31.0,2021-6-29
290,32.0,2021-6-29
291,33.0,2021-6-29
292,34.0,2021-6-29
293,35.0,2021-6-29
294,36.0,2021-6-29
295,0.0,2021-6-29
296,1.0,2021-6-29
297,2.0,2021-6-29
298,3.0,2021-6-29
